SecuritiesCode,date,materialchangesinsubsidiaries,Close
3349,1/11/17,false,20620.00
3349,4/12/17,false,15050.00
3349,7/10/17,false,22170.00
3349,10/12/17,false,17300.00
3349,1/11/18,false,17960.00
3349,4/13/18,false,15320.00
3349,7/12/18,false,17860.00
3349,10/12/18,false,24010.00
3349,1/11/19,false,22850.00
3349,4/8/19,false,23590.00
3349,7/12/19,false,17510.00
3349,10/11/19,false,15380.00
3349,1/10/20,false,21350.00
3349,4/13/20,false,24210.00
3349,7/10/20,false,21670.00
3349,10/12/20,false,21040.00
3349,1/12/21,false,17510.00
3349,4/12/21,false,22680.00
3349,7/12/21,false,17870.00
3349,10/11/21,false,15860.00
4051,8/11/20,false,19010.00
4051,11/11/20,false,18860.00
4051,12/28/20,false,30750.00
4051,2/10/21,false,21430.00
4051,5/12/21,false,27690.00
4051,8/10/21,false,16940.00
4051,11/11/21,false,10200.00
4165,11/9/21,true,2678.00
4169,2/12/21,false,5740.00
4169,5/14/21,false,4025.00
4169,8/13/21,false,2044.00
4169,11/12/21,false,8030.00
4628,2/9/17,false,41650.00
4628,5/11/17,false,38500.00
4628,8/9/17,false,45700.00
4628,11/9/17,false,39450.00
4628,2/9/18,false,43800.00
4628,5/11/18,false,36900.00
4628,8/9/18,false,45800.00
4628,11/9/18,false,37950.00
4628,2/12/19,false,38600.00
4628,5/13/19,false,38650.00
4628,8/8/19,false,10510.00
4628,11/11/19,false,40650.00
4628,2/10/20,false,40850.00
4628,8/7/20,false,38400.00
4628,11/11/20,false,39050.00
4628,2/12/21,false,40300.00
4628,5/11/21,false,10330.00
4628,8/10/21,false,38800.00
4628,11/10/21,true,45800.00
4661,1/30/17,false,17335.00
4661,4/27/17,false,17985.00
4661,7/28/17,false,15070.00
4661,10/30/17,false,6508.00
4661,1/30/18,false,9547.00
4661,4/26/18,false,10955.00
4661,7/30/18,false,17195.00
4661,10/30/18,false,12435.00
4661,1/30/19,false,16595.00
4661,4/25/19,false,6930.00
4661,7/30/19,false,13365.00
4661,10/30/19,false,12350.00
4661,1/30/20,false,17900.00
4661,10/29/20,false,17850.00
4661,1/28/21,false,11950.00
4661,10/28/21,false,6399.00
4684,1/27/17,false,14880.00
4684,4/25/17,false,10840.00
4684,7/25/17,false,9450.00
4684,10/30/17,false,11890.00
4684,1/25/18,false,8760.00
4684,4/25/18,false,5380.00
4684,7/25/18,false,14510.00
4684,10/29/18,false,20270.00
4684,1/29/19,false,9200.00
4684,4/23/19,false,20520.00
4684,7/22/19,false,10640.00
4684,10/28/19,false,5350.00
4684,1/28/20,false,15480.00
4684,4/23/20,false,19570.00
4684,7/22/20,false,9450.00
4684,10/26/20,false,21030.00
4684,1/26/21,false,20110.00
4684,4/22/21,false,12370.00
4684,7/21/21,false,6870.00
4684,10/26/21,false,10470.00
4934,3/15/21,false,7300.00
4934,6/14/21,false,12930.00
4934,9/14/21,false,10820.00
5217,2/3/17,false,27250.00
5217,5/10/17,false,7140.00
5217,8/3/17,false,30900.00
5217,11/2/17,false,7050.00
5217,2/5/18,false,7600.00
5217,5/9/18,false,10500.00
5217,8/2/18,false,27550.00
5217,11/1/18,false,30550.00
5217,2/5/19,false,30400.00
5217,5/13/19,false,766.00
5217,5/27/19,false,10350.00
5217,8/1/19,false,11970.00
5217,11/5/19,false,8200.00
5217,2/4/20,false,7390.00
5217,5/15/20,false,28220.00
5217,8/4/20,false,8270.00
5217,11/2/20,false,11560.00
5217,2/3/21,false,16400.00
5217,5/11/21,false,30300.00
5217,8/4/21,false,29000.00
5217,11/2/21,false,6900.00
6146,2/6/17,false,23230.00
6146,11/6/17,false,25440.00
6146,2/6/18,false,25990.00
6146,1/30/19,false,33650.00
6146,1/23/20,false,29770.00
6146,1/26/21,false,34800.00
6273,2/8/17,true,31460.00
6273,5/12/17,true,54000.00
6273,8/8/17,false,55950.00
6273,11/8/17,false,37850.00
6273,2/7/18,false,62110.00
6273,5/15/18,false,66400.00
6273,8/8/18,false,31100.00
6273,11/7/18,false,55550.00
6273,2/8/19,false,51570.00
6273,5/15/19,false,61700.00
6273,8/9/19,false,67400.00
6273,11/12/19,false,37380.00
6273,2/12/20,false,31450.00
6273,5/15/20,false,48400.00
6273,8/7/20,false,46560.00
6273,11/13/20,false,37050.00
6273,2/12/21,false,45370.00
6273,5/14/21,true,31950.00
6273,8/11/21,false,31670.00
6273,11/12/21,false,49100.00
6806,1/30/17,false,15880.00
6806,4/28/17,false,12770.00
6806,7/28/17,false,12830.00
6806,10/31/17,false,11810.00
6806,1/30/18,false,15100.00
6806,5/8/18,false,13060.00
6806,8/3/18,false,12230.00
6806,11/2/18,false,12090.00
6806,2/6/19,false,12490.00
6806,5/8/19,false,10740.00
6806,8/2/19,false,15310.00
6806,11/1/19,false,16800.00
6806,2/5/20,false,16720.00
6806,5/28/20,false,17820.00
6806,8/3/20,false,17970.00
6806,11/2/20,false,16390.00
6806,2/3/21,false,15330.00
6806,5/6/21,false,12870.00
6806,7/30/21,false,11840.00
6806,11/1/21,false,12730.00
6954,1/26/17,false,22500.00
6954,4/27/17,false,19265.00
6954,7/28/17,false,22560.00
6954,10/25/17,false,21340.00
6954,1/26/18,false,27165.00
6954,4/26/18,false,20690.00
6954,7/25/18,false,21645.00
6954,10/29/18,false,21095.00
6954,10/30/18,false,20925.00
6954,1/31/19,false,14365.00
6954,4/24/19,false,18295.00
6954,7/29/19,false,25445.00
6954,10/28/19,false,23185.00
6954,1/29/20,false,27610.00
6954,4/24/20,false,21945.00
6954,7/28/20,false,25035.00
6954,10/29/20,false,27150.00
6954,1/27/21,false,26255.00
6954,4/27/21,false,21645.00
6954,7/29/21,false,26880.00
6954,10/27/21,false,21215.00
7309,2/14/17,false,14610.00
7309,4/25/17,false,14920.00
7309,7/25/17,false,25545.00
7309,10/24/17,false,17780.00
7309,2/13/18,false,14560.00
7309,4/24/18,false,15030.00
7309,7/30/18,false,19990.00
7309,10/23/18,false,22920.00
7309,2/12/19,false,18350.00
7309,4/23/19,false,29750.00
7309,7/29/19,false,24265.00
7309,10/29/19,false,16190.00
7309,2/12/20,false,15180.00
7309,4/28/20,false,21090.00
7309,7/28/20,false,16400.00
